,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Daytime,Time_Difference_Minutes,Order_Hour,Order_Minute,Picked_Hour,Picked_Minute
25766,38,4.5,12.979096,77.640625,13.069096,77.730625,Sunny,Jam,1,Buffet,motorcycle,1,No,Urban,17,evening,15,19,40,19,55
25767,22,4.6,11.024839,77.007003,11.084839,77.067003,Windy,Low,1,Buffet,scooter,0,No,Metropolitian,18,night,10,22,10,22,20
25769,34,5.0,18.569156,73.774723,18.599156,73.804723,Sandstorms,Medium,1,Buffet,scooter,1,No,Metropolitian,32,evening,10,17,55,18,5
25771,36,4.7,12.325461,76.632278,12.365461,76.672278,Sunny,Medium,1,Meal,motorcycle,0,No,Metropolitian,16,afternoon,5,16,35,16,40
25772,33,5.0,19.120083,72.907385,19.140083,72.927385,Sunny,Low,2,Drinks,electric_scooter,0,No,Metropolitian,13,morning,5,10,10,10,15
25774,21,4.7,23.214294,77.435361,23.274294,77.495361,Fog,Jam,0,Snack,motorcycle,1,No,Metropolitian,29,evening,10,20,45,20,55
25775,20,3.2,11.006686,76.951736,11.116686,77.061736,Sunny,Low,2,Buffet,motorcycle,1,No,Metropolitian,44,night,5,22,20,22,25
25776,29,4.3,21.170096,72.789122,21.260096,72.879122,Windy,Jam,0,Meal,motorcycle,0,No,Metropolitian,32,evening,10,19,25,19,35
25779,25,3.5,21.170096,72.789122,21.200096,72.819122,Sunny,Jam,0,Drinks,motorcycle,1,No,Metropolitian,41,night,5,21,45,21,50
25781,21,4.6,26.469003,80.316344,26.529003,80.376344,Stormy,Jam,0,Drinks,motorcycle,1,No,Metropolitian,31,evening,10,19,15,19,25
25782,34,3.8,22.651847,75.881991,22.731847,75.961991,Windy,Jam,2,Drinks,scooter,0,No,Metropolitian,41,evening,10,20,25,20,35
25785,24,4.0,21.173343,72.792731,21.263343,72.882731,Cloudy,Jam,1,Meal,scooter,1,No,Metropolitian,42,evening,5,19,35,19,40
25786,34,5.0,17.458998,78.500366,17.498998,78.540366,Stormy,High,1,Buffet,motorcycle,1,No,Metropolitian,34,afternoon,15,12,10,12,25
25787,31,4.5,11.001753,76.986241,11.021753,77.006241,Stormy,High,1,Drinks,motorcycle,0,No,Metropolitian,29,morning,15,11,20,11,35
25789,25,4.8,18.927584,72.832585,18.997584,72.902585,Stormy,Medium,2,Drinks,electric_scooter,1,No,Metropolitian,20,evening,10,18,10,18,20
25790,27,4.6,21.186884,72.793616,21.226884,72.833616,Cloudy,High,2,Buffet,scooter,0,No,Urban,31,afternoon,10,12,20,12,30
25793,37,4.6,17.433809,78.386744,17.483809,78.436744,Cloudy,Low,1,Drinks,motorcycle,1,No,Urban,19,night,10,22,40,22,50
25794,22,5.0,13.066762,80.251865,13.106762,80.291865,Windy,Medium,1,Buffet,motorcycle,0,No,Urban,22,afternoon,10,15,25,15,35
25796,22,4.5,13.026279,80.174568,13.086279,80.234568,Fog,Jam,0,Buffet,motorcycle,1,No,Metropolitian,28,night,5,21,25,21,30
25799,22,4.7,18.636215,73.751081,18.656215,73.771081,Windy,High,0,Snack,motorcycle,0,No,Metropolitian,29,morning,10,11,45,11,55
25800,29,4.9,18.536718,73.830327,18.666719,73.960327,Cloudy,Low,1,Drinks,scooter,0,No,Metropolitian,26,night,10,22,55,23,5
25808,39,4.9,22.744648,75.894377,22.854648,76.004377,Sandstorms,Jam,2,Drinks,electric_scooter,1,No,Metropolitian,25,night,5,21,45,21,50
25809,25,4.9,19.120083,72.907385,19.150083,72.937385,Fog,Medium,1,Drinks,scooter,0,No,Metropolitian,16,evening,15,18,15,18,30
25810,34,4.8,13.066762,80.251865,13.086762,80.271865,Sunny,High,2,Drinks,electric_scooter,1,No,Metropolitian,19,morning,15,11,15,11,30
25811,26,4.6,17.429585,78.392621,17.509585,78.472621,Cloudy,Jam,2,Drinks,scooter,1,No,Metropolitian,31,evening,10,19,15,19,25
25812,20,4.0,17.411028,78.329645,17.491028,78.409645,Fog,Jam,1,Meal,motorcycle,0,No,Metropolitian,31,evening,15,19,15,19,30
25813,37,3.9,22.727021,75.884167,22.837021,75.994167,Sandstorms,Jam,2,Snack,electric_scooter,1,Yes,Metropolitian,43,evening,5,19,50,19,55
25814,26,4.8,22.761593,75.886362,22.801593,75.926362,Windy,Medium,0,Meal,motorcycle,0,No,Metropolitian,27,afternoon,10,15,40,15,50
25815,38,4.6,22.745049,75.892471,22.755049,75.902471,Sunny,Low,0,Snack,motorcycle,1,No,Metropolitian,24,morning,15,8,20,8,35
25825,26,4.5,22.695207,75.866059,22.765207,75.936059,Fog,Low,1,Buffet,motorcycle,1,No,Metropolitian,28,night,5,22,20,22,25
25830,27,4.1,23.374989,85.335486,23.384989,85.345486,Sandstorms,Low,0,Drinks,motorcycle,1,No,Metropolitian,18,morning,10,10,25,10,35
25831,38,4.9,22.526461,88.364453,22.636461,88.474453,Windy,Medium,2,Buffet,motorcycle,1,No,Urban,23,evening,15,18,30,18,45
25832,20,4.6,12.326356,76.619103,12.456356,76.749103,Sunny,Medium,2,Snack,scooter,0,No,Metropolitian,16,evening,10,17,15,17,25
25833,31,4.6,22.761593,75.886362,22.891593,76.016362,Cloudy,Jam,0,Meal,motorcycle,2,Yes,Semi-Urban,48,evening,10,20,20,20,30
25834,27,4.2,18.546947,73.900626,18.556947,73.910626,Sandstorms,Low,0,Meal,motorcycle,1,No,Metropolitian,26,morning,10,9,20,9,30
25837,25,4.5,26.892312,75.806896,26.932312,75.846896,Sandstorms,High,2,Drinks,scooter,0,No,Metropolitian,10,afternoon,15,12,40,12,55
25840,39,4.8,19.131141,72.813074,19.151141,72.833074,Windy,Low,1,Snack,scooter,1,No,Metropolitian,20,morning,5,8,35,8,40
25845,27,4.6,12.970324,77.645748,13.000324,77.675748,Stormy,Jam,2,Snack,scooter,1,No,Metropolitian,18,night,15,21,25,21,40
25849,33,4.7,25.451646,81.832796,25.471646,81.852796,Stormy,High,0,Buffet,motorcycle,1,No,Metropolitian,30,afternoon,15,11,50,12,5
25850,29,4.6,27.163303,78.057044,27.303303,78.197044,Sandstorms,Jam,2,Drinks,motorcycle,1,No,Metropolitian,27,night,15,21,30,21,45
25853,37,4.7,23.355164,85.324097,23.485164,85.454097,Sunny,Jam,2,Buffet,electric_scooter,0,No,Metropolitian,24,evening,5,19,30,19,35
25855,26,4.5,17.433809,78.386744,17.453809,78.406744,Sandstorms,High,2,Meal,motorcycle,0,No,Metropolitian,11,morning,5,11,35,11,40
25857,27,4.6,22.307898,73.167788,22.357898,73.217788,Sunny,Jam,1,Meal,motorcycle,0,No,Urban,12,evening,15,20,20,20,35
25859,35,5.0,11.008638,76.984311,11.058638,77.034311,Sunny,Medium,0,Buffet,motorcycle,1,No,Metropolitian,26,evening,15,18,20,18,35
25863,20,4.9,23.371292,85.327872,23.431292,85.387872,Stormy,Jam,0,Meal,motorcycle,1,No,Metropolitian,28,night,10,20,55,21,5
25865,30,4.5,11.022477,76.995667,11.032477,77.005667,Fog,Low,2,Buffet,scooter,0,No,Metropolitian,19,morning,10,9,15,9,25
25867,30,4.0,11.003681,76.975525,11.133681,77.105525,Stormy,Jam,0,Drinks,motorcycle,0,No,Metropolitian,35,night,10,21,35,21,45
25869,28,4.5,19.178321,72.834715,19.308321,72.964715,Windy,Jam,1,Snack,scooter,0,No,Urban,15,evening,15,20,35,20,50
25871,31,4.8,21.157729,72.768726,21.217729,72.828726,Windy,Jam,2,Buffet,scooter,0,No,Metropolitian,29,night,15,21,35,21,50
25873,22,4.7,27.201725,78.007553,27.341725,78.147553,Cloudy,Jam,0,Meal,motorcycle,0,No,Metropolitian,36,night,5,21,10,21,15
25875,36,4.4,13.091809,80.219104,13.141809,80.269104,Stormy,Medium,2,Snack,motorcycle,1,No,Metropolitian,31,evening,10,18,10,18,20
25876,24,4.9,18.994237,72.825553,19.084237,72.915553,Windy,Jam,2,Meal,scooter,0,No,Urban,26,night,15,20,55,21,10
25883,33,4.7,11.008638,76.984311,11.098638,77.074311,Windy,Low,0,Meal,motorcycle,1,No,Urban,25,night,15,23,15,23,30
25884,36,4.6,21.170096,72.789122,21.210096,72.829122,Fog,High,1,Snack,scooter,1,No,Metropolitian,26,afternoon,5,12,25,12,30
25887,24,4.7,21.170096,72.789122,21.300096,72.919122,Fog,Medium,2,Meal,scooter,0,No,Metropolitian,38,evening,10,17,45,17,55
25888,37,4.4,22.651847,75.881991,22.741847,75.971991,Stormy,Jam,1,Snack,motorcycle,1,No,Urban,42,evening,10,20,10,20,20
25889,39,4.8,17.429585,78.392621,17.469585,78.432621,Fog,Medium,2,Buffet,scooter,0,No,Urban,18,afternoon,5,15,25,15,30
25891,20,4.8,22.311603,73.165012,22.381603,73.235012,Cloudy,Low,2,Meal,electric_scooter,0,No,Metropolitian,20,night,10,22,25,22,35
25892,26,4.8,17.483216,78.552111,17.493216,78.562111,Stormy,Low,1,Drinks,motorcycle,0,No,Urban,11,morning,15,8,10,8,25
25893,38,4.9,22.539129,88.365507,22.629129,88.455507,Sunny,Low,0,Snack,motorcycle,1,No,Metropolitian,24,night,15,22,35,22,50
25895,23,4.9,19.254567,72.848923,19.304567,72.898923,Cloudy,Medium,1,Drinks,scooter,0,No,Metropolitian,13,evening,15,17,40,17,55
25896,30,4.8,30.885814,75.786976,30.905814,75.806976,Stormy,Low,1,Buffet,scooter,1,No,Metropolitian,28,morning,5,8,25,8,30
25897,21,5.0,19.221315,72.862381,19.231315,72.872381,Fog,Low,2,Drinks,motorcycle,1,No,Metropolitian,19,morning,10,8,30,8,40
25898,30,4.9,19.055831,72.833984,19.145831,72.923984,Cloudy,Medium,2,Snack,scooter,1,No,Metropolitian,33,evening,5,17,15,17,20
25899,24,4.1,22.307898,73.167788,22.347898,73.207788,Sandstorms,High,0,Buffet,motorcycle,2,No,Urban,33,afternoon,10,13,45,13,55
25902,26,4.6,23.351489,85.324253,23.411489,85.384253,Sandstorms,Medium,0,Buffet,motorcycle,0,No,Urban,27,evening,5,18,30,18,35
25905,38,3.5,12.304569,76.643622,12.434569,76.773622,Stormy,Jam,1,Snack,motorcycle,1,No,Metropolitian,32,night,15,21,50,22,5
25907,39,4.2,30.895204,75.822103,31.005204,75.932103,Sunny,Jam,0,Meal,motorcycle,2,No,Metropolitian,42,evening,5,19,20,19,25
25911,30,5.0,13.027018,80.254791,13.037018,80.264791,Windy,Low,2,Buffet,electric_scooter,1,No,Metropolitian,28,morning,15,8,55,9,10
25913,36,4.3,19.875016,75.322405,19.885016,75.332405,Windy,Low,0,Buffet,motorcycle,1,No,Metropolitian,26,morning,15,9,50,10,5
25914,29,4.9,17.428294,78.404423,17.438294,78.414423,Sunny,Low,2,Drinks,electric_scooter,0,No,Urban,16,morning,15,10,40,10,55
25916,23,4.2,17.440827,78.393391,17.480827,78.433391,Stormy,High,0,Snack,motorcycle,1,No,Metropolitian,37,afternoon,5,12,35,12,40
25917,32,3.8,25.443994,81.860187,25.583994,82.000187,Sandstorms,Jam,2,Snack,motorcycle,1,No,Urban,33,evening,5,20,25,20,30
25921,21,4.9,17.422819,78.449578,17.432819,78.459578,Cloudy,Low,1,Meal,scooter,1,No,Urban,16,morning,5,9,40,9,45
25922,25,4.8,26.911378,75.789034,27.021378,75.899034,Cloudy,Jam,0,Snack,motorcycle,0,No,Metropolitian,45,evening,15,19,50,20,5
25924,31,4.8,22.526461,88.364453,22.536461,88.374453,Stormy,Low,1,Meal,motorcycle,1,No,Metropolitian,21,morning,5,10,10,10,15
25927,23,4.7,12.284747,76.625861,12.334747,76.675861,Sandstorms,Medium,2,Snack,electric_scooter,0,No,Metropolitian,23,evening,5,18,50,18,55
25928,37,4.0,22.310329,73.169083,22.400329,73.259083,Stormy,Medium,0,Drinks,motorcycle,1,No,Urban,31,evening,10,18,25,18,35
25930,34,4.4,30.899584,75.809346,31.039584,75.949346,Cloudy,Jam,1,Buffet,motorcycle,1,No,Urban,42,night,15,21,15,21,30
25931,30,5.0,22.745536,75.893106,22.765536,75.913106,Fog,High,2,Snack,scooter,1,No,Metropolitian,38,morning,15,11,40,11,55
25932,39,5.0,22.310329,73.169083,22.440329,73.299083,Windy,Jam,0,Snack,motorcycle,1,No,Metropolitian,38,night,5,21,25,21,30
25933,22,4.2,15.516833,73.768172,15.546833,73.798172,Stormy,Jam,0,Buffet,motorcycle,0,No,Metropolitian,37,night,15,21,35,21,50
25935,35,4.0,13.081878,80.248519,13.101878,80.268519,Sandstorms,High,0,Snack,motorcycle,1,No,Metropolitian,41,morning,10,11,20,11,30
25940,27,4.8,17.433809,78.386744,17.523809,78.476744,Windy,Low,0,Snack,motorcycle,1,No,Urban,22,night,5,22,40,22,45
25941,37,5.0,23.374878,85.335739,23.414878,85.375739,Cloudy,Medium,1,Meal,motorcycle,1,No,Urban,18,afternoon,10,15,45,15,55
25942,34,5.0,21.173343,72.792731,21.193343,72.812731,Fog,Low,2,Meal,motorcycle,1,No,Urban,15,morning,5,9,15,9,20
25945,30,4.9,10.994136,76.963303,11.034136,77.003303,Windy,Medium,2,Buffet,scooter,1,No,Metropolitian,25,afternoon,15,15,30,15,45
25946,37,4.3,27.160832,78.011608,27.270832,78.121608,Cloudy,Jam,2,Drinks,scooter,0,No,Metropolitian,41,night,10,21,45,21,55
25949,37,4.7,26.911927,75.797282,27.021927,75.907282,Sunny,Low,2,Snack,scooter,1,No,Metropolitian,19,night,5,22,20,22,25
25950,36,4.6,12.337978,76.616792,12.447978,76.726792,Windy,Jam,0,Drinks,motorcycle,1,No,Metropolitian,54,evening,5,19,45,19,50
25951,26,4.6,22.753659,75.903365,22.863659,76.013365,Sunny,Medium,2,Drinks,scooter,1,No,Metropolitian,18,evening,5,18,40,18,45
25952,23,4.8,21.149569,72.772697,21.159569,72.782697,Fog,Low,0,Buffet,motorcycle,0,No,Metropolitian,20,morning,10,10,35,10,45
25957,25,4.7,18.593481,73.785901,18.703481,73.895901,Stormy,Jam,2,Buffet,scooter,1,No,Urban,25,evening,10,19,25,19,35
25959,32,4.3,12.979166,77.640709,13.059166,77.720709,Stormy,Medium,2,Drinks,scooter,1,No,Metropolitian,39,evening,15,17,15,17,30
25960,29,4.9,19.254567,72.848923,19.304567,72.898923,Sandstorms,Jam,0,Snack,motorcycle,0,No,Metropolitian,20,night,10,21,20,21,30
25961,20,4.0,23.353783,85.326967,23.373783,85.346967,Stormy,Low,0,Drinks,motorcycle,1,No,Metropolitian,26,morning,10,10,15,10,25
25962,20,4.3,22.311844,73.165081,22.401844,73.255081,Cloudy,Medium,1,Drinks,scooter,1,No,Metropolitian,31,evening,15,17,55,18,10
25964,34,4.9,11.022169,76.999594,11.062169,77.039594,Cloudy,High,2,Meal,scooter,1,No,Metropolitian,32,afternoon,15,14,10,14,25
25965,37,4.8,17.410371,78.437225,17.450371,78.477225,Sandstorms,Medium,0,Snack,motorcycle,0,No,Metropolitian,25,afternoon,15,15,35,15,50
25966,38,5.0,18.533811,73.899315,18.543811,73.909315,Fog,Low,2,Meal,motorcycle,1,No,Metropolitian,19,morning,10,10,25,10,35
25967,24,4.8,13.026279,80.174568,13.096279,80.244568,Sandstorms,Low,1,Drinks,motorcycle,1,No,Metropolitian,14,night,10,22,30,22,40
25968,20,4.0,21.175975,72.795503,21.215975,72.835503,Fog,High,1,Meal,scooter,1,No,Metropolitian,33,afternoon,10,12,45,12,55
25971,32,4.7,22.514688,88.393294,22.574688,88.453294,Windy,Low,2,Buffet,scooter,1,No,Metropolitian,22,night,5,23,25,23,30
25973,39,4.0,23.232357,77.429989,23.342357,77.539989,Fog,Low,0,Snack,motorcycle,1,Yes,Metropolitian,44,night,15,23,25,23,40
25975,39,4.8,26.892312,75.806896,26.982312,75.896896,Fog,Jam,0,Buffet,motorcycle,1,Yes,Metropolitian,51,night,5,21,40,21,45
25976,39,5.0,12.972793,80.249982,13.042793,80.319982,Stormy,Jam,2,Meal,scooter,1,No,Metropolitian,30,night,15,20,50,21,5
25977,20,4.6,12.970324,77.645748,13.010324,77.685748,Fog,Medium,1,Drinks,motorcycle,1,No,Urban,19,afternoon,10,15,40,15,50
25978,32,4.5,23.353783,85.326967,23.413783,85.386967,Sunny,Low,0,Drinks,motorcycle,1,No,Metropolitian,24,night,5,22,20,22,25
25983,20,5.0,19.221315,72.862381,19.301315,72.942381,Fog,Jam,0,Snack,motorcycle,0,No,Urban,41,night,15,21,25,21,40
25987,31,4.3,18.592718,73.773572,18.702718,73.883572,Sunny,Jam,0,Snack,motorcycle,1,No,Metropolitian,37,evening,5,20,15,20,20
25988,39,4.6,18.927584,72.832585,18.937584,72.842585,Stormy,Low,1,Meal,scooter,1,No,Metropolitian,23,morning,5,10,25,10,30
25989,26,4.6,21.149569,72.772697,21.199569,72.822697,Sandstorms,Medium,1,Drinks,motorcycle,1,No,Metropolitian,24,evening,5,17,10,17,15
25993,27,4.1,12.334022,76.618203,12.364022,76.648203,Windy,Jam,0,Drinks,motorcycle,1,No,Metropolitian,33,evening,10,19,30,19,40
25998,27,4.8,11.000762,76.981876,11.130762,77.111876,Windy,Low,2,Meal,scooter,0,No,Metropolitian,16,night,5,23,20,23,25
26002,22,4.9,12.934179,77.615797,13.044179,77.725797,Fog,Low,0,Meal,motorcycle,0,No,Metropolitian,23,night,5,23,45,23,50
26003,24,5.0,17.422819,78.449578,17.512819,78.539578,Sunny,Jam,1,Drinks,motorcycle,1,No,Metropolitian,20,evening,10,19,55,20,5
26005,32,4.8,18.569156,73.774723,18.599156,73.804723,Fog,Low,0,Buffet,motorcycle,1,No,Metropolitian,28,night,15,23,35,23,50
26006,20,4.6,21.149834,72.778666,21.239834,72.868666,Cloudy,Low,0,Drinks,motorcycle,1,No,Metropolitian,24,night,10,23,40,23,50
26007,36,4.9,22.725835,75.887648,22.735835,75.897648,Windy,Low,2,Buffet,motorcycle,0,No,Metropolitian,20,morning,15,10,25,10,40
26011,39,4.6,12.304569,76.643622,12.324569,76.663622,Windy,Low,2,Buffet,motorcycle,1,No,Metropolitian,21,morning,10,10,15,10,25
26012,37,4.9,13.049645,80.242268,13.179645,80.372268,Sandstorms,Jam,2,Buffet,electric_scooter,1,No,Metropolitian,27,evening,5,19,40,19,45
26013,23,3.2,12.949934,77.699386,13.079934,77.829386,Sunny,Low,2,Drinks,scooter,1,No,Metropolitian,31,night,15,23,10,23,25
26018,25,4.8,19.065838,72.832658,19.115838,72.882658,Fog,Medium,1,Buffet,motorcycle,1,No,Metropolitian,17,evening,15,18,20,18,35
26020,22,4.6,23.218998,77.373573,23.288998,77.443573,Sandstorms,Low,2,Snack,motorcycle,1,No,Metropolitian,19,night,5,23,10,23,15
26023,33,4.8,21.170096,72.789122,21.190096,72.809122,Cloudy,Low,1,Snack,motorcycle,1,No,Metropolitian,17,morning,10,8,25,8,35
26025,38,4.6,18.927584,72.832585,19.037584,72.942585,Fog,Medium,1,Snack,motorcycle,1,No,Metropolitian,33,evening,5,17,15,17,20
26029,37,4.4,26.913987,75.752891,27.003987,75.842891,Windy,Jam,2,Buffet,motorcycle,2,No,Metropolitian,42,evening,10,19,45,19,55
26031,28,4.3,12.304569,76.643622,12.354569,76.693622,Cloudy,Jam,1,Buffet,motorcycle,1,No,Metropolitian,31,night,15,21,50,22,5
26032,23,4.7,12.323978,76.627961,12.343978,76.647961,Cloudy,High,0,Drinks,motorcycle,1,No,Metropolitian,23,morning,10,11,35,11,45
26035,33,4.1,26.905287,75.794592,26.925287,75.814592,Windy,Low,0,Buffet,motorcycle,1,No,Metropolitian,21,morning,15,9,35,9,50
26037,36,4.8,26.766536,75.837333,26.906536,75.977333,Cloudy,Low,0,Drinks,motorcycle,2,No,Urban,40,night,15,23,40,23,55
26039,39,4.1,22.745536,75.893106,22.785536,75.933106,Sandstorms,Medium,2,Drinks,electric_scooter,1,No,Metropolitian,31,afternoon,15,16,40,16,55
26041,31,4.8,26.474986,80.342796,26.484986,80.352796,Fog,Low,1,Drinks,scooter,0,No,Metropolitian,16,morning,10,8,20,8,30
26045,36,4.6,19.178321,72.834715,19.228321,72.884715,Cloudy,Medium,0,Meal,motorcycle,1,No,Metropolitian,30,evening,5,17,10,17,15
26046,22,4.9,18.543626,73.905101,18.563626,73.925101,Fog,High,2,Drinks,motorcycle,0,No,Metropolitian,28,morning,10,11,10,11,20
26047,26,5.0,11.000762,76.981876,11.070762,77.051876,Sandstorms,Low,2,Drinks,scooter,1,No,Metropolitian,14,night,15,23,30,23,45
26048,24,4.9,22.308096,73.167753,22.358096,73.217753,Stormy,Jam,1,Meal,scooter,1,No,Metropolitian,16,evening,5,20,40,20,45
26050,31,5.0,12.284747,76.625861,12.374747,76.715861,Fog,Jam,2,Drinks,scooter,1,Yes,Urban,49,evening,15,19,25,19,40
26053,33,4.2,18.636215,73.751081,18.646215,73.761081,Windy,Low,0,Buffet,motorcycle,1,No,Metropolitian,24,morning,15,8,55,9,10
26054,32,4.6,18.592718,73.773572,18.642718,73.823572,Stormy,Medium,0,Drinks,motorcycle,1,No,Metropolitian,31,evening,15,18,55,19,10
26055,31,4.7,26.766536,75.837333,26.826536,75.897333,Cloudy,Medium,0,Buffet,motorcycle,1,No,Metropolitian,28,evening,10,17,45,17,55
26057,30,4.6,26.914142,75.805704,27.054142,75.945704,Fog,Medium,0,Snack,motorcycle,3,No,Metropolitian,49,evening,15,17,25,17,40
26059,37,4.6,19.055831,72.833984,19.115831,72.893984,Sunny,Jam,1,Buffet,motorcycle,0,No,Metropolitian,19,night,15,21,55,22,10
26060,36,4.5,11.024839,77.007003,11.114839,77.097003,Sandstorms,Medium,2,Buffet,electric_scooter,1,No,Metropolitian,27,evening,10,18,30,18,40
26063,36,5.0,23.374878,85.335739,23.434878,85.395739,Windy,Jam,0,Meal,motorcycle,0,Yes,Metropolitian,49,evening,10,19,15,19,25
26066,21,5.0,21.186438,72.794115,21.316438,72.924115,Sunny,Medium,0,Drinks,motorcycle,1,No,Metropolitian,25,evening,15,18,20,18,35
26067,37,4.2,23.355164,85.324097,23.405164,85.374097,Stormy,Jam,0,Buffet,motorcycle,0,No,Urban,36,night,5,21,35,21,40
26069,36,4.5,26.911378,75.789034,26.941378,75.819034,Sunny,Jam,0,Buffet,motorcycle,1,No,Metropolitian,20,evening,5,20,20,20,25
26070,30,4.4,12.323994,76.626167,12.333994,76.636167,Sandstorms,Low,0,Meal,motorcycle,1,No,Metropolitian,24,morning,5,8,50,8,55
26071,29,4.8,30.899584,75.809346,30.919584,75.829346,Cloudy,Low,1,Drinks,motorcycle,1,No,Metropolitian,12,morning,15,8,20,8,35
26072,21,4.7,18.592718,73.773572,18.722718,73.903572,Cloudy,Jam,2,Buffet,scooter,0,No,Metropolitian,34,evening,15,20,30,20,45
26073,31,4.1,22.569358,88.433452,22.649358,88.513452,Cloudy,Jam,2,Drinks,motorcycle,1,No,Metropolitian,41,evening,10,19,10,19,20
26076,29,4.9,22.310526,73.170937,22.330526,73.190937,Windy,Low,1,Snack,motorcycle,0,No,Metropolitian,10,morning,5,8,50,8,55
26077,30,4.8,12.975377,77.696664,13.015377,77.736664,Windy,Medium,0,Buffet,motorcycle,1,No,Metropolitian,26,afternoon,15,15,15,15,30
26078,26,4.7,17.438263,78.397865,17.488263,78.447865,Fog,Jam,0,Meal,motorcycle,1,No,Metropolitian,27,evening,10,19,40,19,50
26079,22,4.9,21.170096,72.789122,21.280096,72.899122,Windy,Jam,1,Meal,motorcycle,0,No,Metropolitian,15,night,10,21,25,21,35
26081,24,4.7,19.254567,72.848923,19.324567,72.918923,Stormy,Low,2,Meal,scooter,0,No,Metropolitian,14,night,5,22,20,22,25
26082,37,4.2,27.158822,78.045359,27.228822,78.115359,Stormy,Jam,2,Snack,scooter,0,No,Urban,39,evening,10,19,55,20,5
26083,34,4.1,12.981615,80.231598,13.091615,80.341598,Sandstorms,Jam,0,Snack,motorcycle,2,No,Metropolitian,40,evening,5,20,50,20,55
26084,37,5.0,11.022477,76.995667,11.042477,77.015667,Stormy,Low,2,Buffet,scooter,0,No,Metropolitian,29,morning,10,9,15,9,25
26085,25,4.8,19.176269,72.836721,19.196269,72.856721,Sunny,Low,1,Meal,scooter,0,No,Metropolitian,19,morning,5,10,10,10,15
26086,22,4.5,18.569156,73.774723,18.599156,73.804723,Cloudy,Medium,0,Buffet,motorcycle,1,No,Urban,21,evening,5,17,20,17,25
26088,36,4.7,11.008638,76.984311,11.018638,76.994311,Fog,Low,0,Snack,motorcycle,0,No,Metropolitian,25,morning,15,8,40,8,55
26089,22,4.3,18.539299,73.897902,18.649299,74.007902,Cloudy,Jam,2,Meal,scooter,1,No,Metropolitian,40,evening,15,20,35,20,50
26090,36,4.9,23.359407,85.325055,23.449407,85.415055,Sunny,Jam,0,Snack,motorcycle,0,No,Metropolitian,40,evening,10,20,10,20,20
26093,29,4.7,12.311072,76.654878,12.381072,76.724878,Sandstorms,Low,1,Snack,scooter,0,No,Metropolitian,19,night,5,23,45,23,50
26094,27,4.6,12.979166,77.640709,13.039166,77.700709,Sandstorms,Medium,0,Drinks,motorcycle,0,No,Metropolitian,26,evening,10,18,30,18,40
26096,34,4.7,18.593481,73.785901,18.723481,73.915901,Windy,Low,0,Snack,motorcycle,1,No,Metropolitian,27,night,5,23,20,23,25
26097,22,5.0,13.064181,80.236442,13.134181,80.306442,Sandstorms,Low,1,Buffet,scooter,0,No,Urban,10,night,10,23,45,23,55
26101,35,4.7,22.727021,75.884167,22.807021,75.964167,Sunny,Jam,0,Snack,motorcycle,1,No,Metropolitian,26,evening,15,20,30,20,45
26102,37,5.0,12.284747,76.625861,12.414747,76.755861,Cloudy,Jam,2,Meal,electric_scooter,1,No,Metropolitian,43,evening,15,19,55,20,10
26103,36,4.9,22.310329,73.169083,22.360329,73.219083,Stormy,Jam,1,Snack,scooter,1,No,Metropolitian,25,night,15,21,15,21,30
26105,36,4.5,13.029198,77.570997,13.139198,77.680997,Sandstorms,Low,1,Snack,scooter,1,No,Urban,25,night,5,23,50,23,55
26107,28,4.8,23.264015,77.408236,23.314015,77.458236,Sunny,Low,0,Drinks,motorcycle,0,No,Metropolitian,14,night,15,23,25,23,40
26112,34,4.3,11.003681,76.975525,11.083681,77.055525,Windy,Jam,2,Meal,motorcycle,1,No,Metropolitian,33,night,10,21,15,21,25
26114,35,4.9,11.025083,77.015393,11.105083,77.095393,Sunny,Medium,0,Meal,motorcycle,1,No,Urban,30,evening,10,17,55,18,5
26116,22,4.8,18.554382,73.798206,18.644382,73.888206,Fog,Jam,1,Drinks,scooter,0,No,Metropolitian,39,evening,5,19,15,19,20
26117,38,3.7,22.311844,73.165081,22.391844,73.245081,Fog,Low,1,Buffet,scooter,1,No,Metropolitian,39,night,5,22,35,22,40
26119,30,3.5,26.849596,75.800512,26.989596,75.940512,Windy,Medium,1,Meal,scooter,2,No,Metropolitian,37,evening,10,17,25,17,35
26120,38,5.0,22.311603,73.165012,22.351603,73.205012,Sunny,High,0,Drinks,motorcycle,1,No,Metropolitian,25,afternoon,10,12,10,12,20
26121,20,4.9,19.876219,75.346017,19.916219,75.386017,Stormy,Medium,2,Drinks,scooter,0,No,Metropolitian,21,afternoon,15,16,25,16,40
26124,27,4.9,30.893384,75.821202,31.003384,75.931202,Stormy,Jam,2,Meal,electric_scooter,1,No,Metropolitian,25,evening,15,20,10,20,25
26125,21,4.2,26.471617,80.313564,26.531617,80.373564,Sunny,Jam,0,Meal,motorcycle,2,Yes,Metropolitian,49,evening,10,19,35,19,45
26127,24,4.6,12.334022,76.618203,12.414022,76.698203,Cloudy,Low,1,Drinks,scooter,0,No,Metropolitian,27,night,5,22,50,22,55
